Sample,Vrt,Rt,F,8.8
0,0.792523,4.349072,113.149229,0x7126
1,0.796199,4.372789,112.899888,0x70E6
2,0.799875,4.396544,112.656937,0x70A8
3,0.803551,4.420338,112.413591,0x7069
4,0.807228,4.444170,112.169849,0x702B
5,0.810904,4.468042,111.925711,0x6FEC
6,0.814580,4.491952,111.681176,0x6FAE
7,0.818256,4.515901,111.436242,0x6F6F
8,0.821933,4.539889,111.191303,0x6F30
9,0.825609,4.563916,110.956253,0x6EF4
10,0.829285,4.587983,110.720819,0x6EB8
11,0.832961,4.612089,110.485001,0x6E7C
12,0.836638,4.636234,110.248796,0x6E3F
13,0.840314,4.660419,110.012204,0x6E03
14,0.843990,4.684644,109.775225,0x6DC6
15,0.847667,4.708908,109.537857,0x6D89
16,0.851343,4.733212,109.304262,0x6D4D
17,0.855019,4.757556,109.076036,0x6D13
18,0.858695,4.781940,108.847436,0x6CD8
19,0.862372,4.806364,108.618459,0x6C9E
20,0.866048,4.830829,108.389104,0x6C63
21,0.869724,4.855334,108.159372,0x6C28
22,0.873400,4.879879,107.929261,0x6BED
23,0.877077,4.904465,107.698770,0x6BB2
24,0.880753,4.929091,107.474437,0x6B79
25,0.884429,4.953758,107.254632,0x6B41
26,0.888105,4.978466,107.034462,0x6B08
27,0.891782,5.003215,106.813928,0x6AD0
28,0.895458,5.028005,106.593028,0x6A97
29,0.899134,5.052836,106.371761,0x6A5F
30,0.902810,5.077708,106.150127,0x6A26
31,0.906487,5.102622,105.928125,0x69ED
32,0.910163,5.127577,105.709344,0x69B5
33,0.913839,5.152573,105.495087,0x697E
34,0.917515,5.177611,105.280474,0x6947
35,0.921192,5.202691,105.065502,0x6910
36,0.924868,5.227813,104.850172,0x68D9
37,0.928544,5.252977,104.634482,0x68A2
38,0.932220,5.278183,104.418432,0x686B
39,0.935897,5.303431,104.202020,0x6833
40,0.939573,5.328721,103.985980,0x67FC
41,0.943249,5.354054,103.779650,0x67C7
42,0.946925,5.379429,103.572974,0x6792
43,0.950602,5.404847,103.365950,0x675D
44,0.954278,5.430308,103.158579,0x6728
45,0.957954,5.455811,102.950860,0x66F3
46,0.961630,5.481357,102.742790,0x66BE
